;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;53;53;60;61;48
Basket-Ball;150;192;115;101;175
Equitation;119;113;108;91;102
Sports_sous_marins;21;17;17;18;14
Football;373;433;594;379;440
Golf;61;42;28;36;34
Gymnastique;27;34;30;52;38
Handball;92;68;100;94;93
Judo-jujitsu;81;100;105;71;82
Karate_et_arts_martiaux;30;26;31;24;25
Natation;39;42;35;33;18
Petanque_et_jeu_provencal;20;36;65;36;50
Randonnee_pedestre;39;30;57;41;28
Rugby;32;19;14;17;27
Ski;3;1;8;1;1
Tennis;175;149;131;128;150
Tennis_de_table;53;52;101;52;57
Tir;13;13;12;16;15
Voile;67;27;16;17;47
Autres_federations;328;255;324;273;287
Federations_multisports_affinitaires;1326;1039;1024;780;1014
