;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;5604;3657;1538;2906;2686
Basket-Ball;20565;16338;3697;6236;11489
Equitation;15508;9025;3175;5138;6834
Sports_sous_marins;2736;1403;475;1001;892
Football;50973;35783;20504;23577;29895
Golf;7818;3268;756;2058;2122
Gymnastique;3099;2594;867;2946;1923
Handball;10918;5000;2719;5667;5996
Judo-jujitsu;10257;7482;3132;4013;5551
Karate_et_arts_martiaux;3748;2086;824;1265;1471
Natation;4818;3129;1113;1794;1016
Petanque_et_jeu_provencal;2708;2855;1970;1862;3100
Randonnee_pedestre;4920;1989;1817;2458;1652
Rugby;3600;1158;384;860;1407
Ski;354;0;253;52;0
Tennis;22389;11873;4117;7471;10054
Tennis_de_table;6607;4032;3146;2968;3677
Tir;1555;841;355;703;739
Voile;11391;1073;178;327;8273
Autres_federations;44937;19643;10428;17187;26383
Federations_multisports_affinitaires;166964;84290;23323;41792;66140
