;Alsace;Aquitaine;Auvergne;Basse-Normandie;Bourgogne;Bretagne;Centre;Champagne-Ardenne;Corse;Franche-Comté;Haute-Normandie;Île-de-France;Languedoc-Roussillon;Limousin;Lorraine;Midi-Pyrénées;Nord-Pas-de-Calais;Provences-Alpes-Cote-d-Azur;Pays-de-la-Loire;Picardie;Poitou-Charentes;Rhône-Alpes
Athlétisme;5159;10852;5591;4894;4430;13796;10221;6438;1575;3153;6565;40316;7877;2953;7440;9787;12157;16703;19614;7880;6563;19339
Basketball;19113;30552;11293;9060;10322;28234;17811;5533;923;4129;10609;50681;8473;5786;10914;21147;30605;22049;55597;8331;10984;57059
Équitation;19351;37796;13774;20025;18966;36925;31997;15530;3166;13832;23735;111136;29504;7805;26732;34822;40957;48257;39775;26988;24008;69192
Sports_sous_marins;4127;6669;2388;2915;2820;8399;5136;2376;1246;1951;3586;32205;6115;911;4600;6446;5499;14330;6499;3170;3348;15028
Football;78976;86967;49177;47213;47010;138486;82929;42320;9022;40464;55975;221474;64531;25312;78654;88627;142643;98091;151626;65499;63925;183424
Golf;9495;29734;6749;7878;6516;15519;12546;4838;1045;3873;10248;117304;11627;3576;9458;20484;16223;37859;16419;8566;9575;39372
Gymnastique;17810;10339;6179;6506;8464;10707;11460;6561;1234;5234;13643;49180;8523;1807;11584;10665;15949;17990;12515;7858;8304;27977
Handball;19438;27921;7295;15430;10565;29150;19248;9520;3003;10748;15450;58407;23163;5728;20092;15026;15278;36843;31914;12401;18272;33675
Judo_jujitsu_et_disciplines_associées;16496;32812;10853;13605;14568;29266;25804;10596;2615;10909;18082;107158;20834;6129;23219;26019;29947;36722;31098;20413;16292;54757
Karaté_et_arts_martiaux_affinitaires;7138;8209;4455;4390;4479;8065;9637;3873;1289;3101;7272;54074;7858;1766;6736;9958;10201;22736;9994;4987;4112;21512
Natation;9293;12645;7419;5100;8066;8134;11293;6093;1711;3701;6271;54076;9542;2994;9820;13854;15377;28850;12563;9649;7776;29291
Pétanque_et_jeu_provençal;3188;18864;14226;5501;9698;8803;9864;3757;2026;5622;4513;24836;28073;5480;11073;35627;6047;39415;12762;6645;9405;23772
Randonnée_pédestre;1104;13287;2748;3293;6611;15441;12644;2595;184;2981;6046;26650;13642;2190;6405;12565;8618;25101;13391;3844;9104;22009
Rugby;3269;48470;13155;3676;9152;9404;11211;2242;1395;4153;5281;38303;25783;7847;4319;48818;7398;23106;8783;4326;9456;38629
Ski;7440;4752;2775;173;1152;861;370;168;239;4964;129;3152;3785;496;3669;6995;200;13977;843;118;359;68003
Tennis;29275;62645;21067;21763;20852;45350;45069;17920;3875;15129;30216;252340;50787;9986;34845;50855;48714;97376;55783;28328;28115;116525
Tennis_de_table;4785;7587;3392;6322;4340;12309;11392;3523;548;3484;6311;32711;5817;1805;9476;4698;15244;7648;20913;5358;6583;13953
Tir;7002;7328;3721;3271;4863;4546;6410;3660;3333;3484;3581;21480;7831;1935;8260;7084;7418;18151;4902;4671;4271;13533
Voile;2679;10310;2335;8878;2978;32223;5931;3247;2436;1719;12832;47668;8494;887;2825;5318;11721;36787;15455;3640;7226;20330
Autres_fédérations;54042;124053;37313;37844;45005;102689;78963;31020;7321;32987;45424;300552;94474;18385;57143;102641;89886;157787;107328;47870;50202;232478
Fédérations_multisports_affinitaires;152577;231031;107977;98849;96285;349318;195225;84905;11902;85336;84101;727380;174106;72034;191129;204985;352444;297188;398113;130437;132092;574140
