;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;44;47;50;52;42
Basket-Ball;160;208;121;111;181
Equitation;121;115;104;91;108
Sports_sous_marins;21;18;16;18;14
Football;398;456;669;418;471
Golf;61;42;25;37;33
Gymnastique;24;33;28;52;30
Handball;85;64;89;101;94
Judo-jujitsu;80;95;102;71;87
Karate_et_arts_martiaux;29;27;27;22;23
Natation;38;40;36;32;16
Petanque_et_jeu_provencal;21;36;64;33;49
Randonnee_pedestre;38;25;59;44;26
Rugby;28;15;13;15;22
Ski;3;0;8;1;0
Tennis;175;151;134;133;158
Tennis_de_table;52;51;103;53;58
Tir;12;11;12;12;12
Voile;89;14;6;6;130
Autres_federations;351;250;340;305;416
Federations_multisports_affinitaires;1302;1074;761;742;1042
