;Loire-Atlantique;Maine-et-Loire;Mayenne;Sarthe;Vendée
Athletisme;6951;4194;1863;3461;3145
Basket-Ball;19629;15313;3533;5726;11396
Equitation;15616;9020;3337;5170;6632
Sports_sous_marins;2718;1351;509;1003;918
Football;48785;34421;18318;21487;28615
Golf;7952;3343;870;2058;2196
Gymnastique;3497;2701;936;2933;2448
Handball;12093;5407;3075;5320;6019
Judo-jujitsu;10585;7923;3222;4016;5352
Karate_et_arts_martiaux;3948;2094;965;1334;1653
Natation;5091;3345;1074;1876;1177
Petanque_et_jeu_provencal;2651;2841;2015;2022;3233
Randonnee_pedestre;5163;2348;1747;2323;1810
Rugby;4173;1480;417;982;1731
Ski;366;74;252;69;82
Tennis;22915;11818;4028;7293;9729
Tennis_de_table;6976;4166;3105;2963;3703
Tir;1657;1008;381;893;963
Voile;8837;2131;496;947;3044
Autres_federations;42954;20261;9995;15479;18638
Federations_multisports_affinitaires;173709;82686;31563;44259;65896
